Company Name,Ticker,Exchange,GICS Sector,GICS Industry Group,GICS Industry,GICS Sub-Industry
Solar Edge,SEDG,Nasdaq,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment
SEI Investments Co,SEIC,Nasdaq,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks
Stitch Fix Inc,SFIX,Nasdaq,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Apparel Retail
Sprouts Farmers Market Inc,SFM,Nasdaq,Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Food Retail
Sirius XM Holdings Inc,SIRI,Nasdaq,Communication Services,Media & Entertainment,Media,Cable & Satellite
SkyWest Inc,SKYW,Nasdaq,Industrials,Transportation,Passenger Airlines,Passenger Airlines
Sohu.com Ltd,SOHU,Nasdaq,Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment
Smith & Wesson Brands Inc,SWBI,Nasdaq,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products
Price (T. ROWE) Group,TROW,Nasdaq,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks
Tesla Inc,TSLA,Nasdaq,Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers
Texas Instruments Inc,TXN,Nasdaq,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
Texas Roadhouse Inc,TXRH,Nasdaq,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants
Ulta Beauty Inc,ULTA,Nasdaq,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Other Specialty Retail
Urban Outfitters Inc,URBN,Nasdaq,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Apparel Retail
United States Lime & Minderals Inc.,USLM,Nasdaq,Materials,Materials,Construction Materials,Construction Materials
UTStarcom Holdings Corp,UTSI,Nasdaq,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment
VEON Ltd,VEON,Nasdaq,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services
Vera Bradley Inc,VRA,Nasdaq,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
Verisk Analytics Inc,VRSK,Nasdaq,Industrials,Commercial  & Professional Services,Professional Services,Research & Consulting Services
Walgreens Boots Alliance Inc,WBA,Nasdaq,Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Drug Retail
WD-40 Co,WDFC,Nasdaq,Consumer Staples,Household & Personal Products,Household Products,Household Products
The Wendy's Co,WEN,Nasdaq,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants
The York Water Co,YORW,Nasdaq,Utilities,Utilities,Water Utilities,Water Utilities
AbbVie Inc,ABBV,"New York Stock Exchange, Inc.",Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
Abbott Laboratories,ABT,"New York Stock Exchange, Inc.",Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
American Eagle Outfitters Inc,AEO,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Apparel Retail
Aflac Inc,AFL,"New York Stock Exchange, Inc.",Financials,Insurance,Insurance,Life & Health Insurance
Allstate Corp,ALL,"New York Stock Exchange, Inc.",Financials,Insurance,Insurance,Property & Casualty Insurance
AMC Entertainment Holdings,AMC,"New York Stock Exchange, Inc.",Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
AMN Healthcare Services Inc,AMN,"New York Stock Exchange, Inc.",Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services
Arista Networks Inc,ANET,"New York Stock Exchange, Inc.",Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment
Abercrombie & Fitch Co,ANF,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Apparel Retail
Artisan Partners Asset Management Inc,APAM,"New York Stock Exchange, Inc.",Financials,Financial Services,Capital Markets,Asset Management & Custody Banks
Air Products & Chemicals Inc,APD,"New York Stock Exchange, Inc.",Materials,Materials,Chemicals,Industrial Gases
Aptiv PLC,APTV,"New York Stock Exchange, Inc.",Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment
ASGN Inc,ASGN,"New York Stock Exchange, Inc.",Information Technology,Software & Services,IT Services,IT Consulting & Other Services
Ashland Global Holdings Inc,ASH,"New York Stock Exchange, Inc.",Materials,Materials,Chemicals,Specialty Chemicals
American Water Works Co Inc,AWK,"New York Stock Exchange, Inc.",Utilities,Utilities,Water Utilities,Water Utilities
American Express Co,AXP,"New York Stock Exchange, Inc.",Financials,Financial Services,Consumer Finance,Consumer Finance
Autozone Inc,AZO,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Automotive Retail
Boeing Co,BA,"New York Stock Exchange, Inc.",Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
Alibaba Group Holding Ltd,BABA,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Discretionary Distribution & Retail,Distributors,Broadline Retail
Bank of America Corp,BAC,"New York Stock Exchange, Inc.",Financials,Banks,Banks,Diversified Banks
Brookfield Asset Management,BAM,"New York Stock Exchange, Inc.",Financials,Financial Services,Capital Markets,Asset Management & Custody Banks
Baxter International Inc,BAX,"New York Stock Exchange, Inc.",Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
Build-A-Bear Workshop Inc,BBW,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Other Specialty Retail
Best Buy Co Inc,BBY,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Computer & Electronics Retail
Barclays PLC,BCS,"New York Stock Exchange, Inc.",Financials,Banks,Banks,Diversified Banks
Franklin Resources Inc,BEN,"New York Stock Exchange, Inc.",Financials,Financial Services,Capital Markets,Asset Management & Custody Banks
Bill.com Holdings Inc,BILL,"New York Stock Exchange, Inc.",Information Technology,Software & Services,Software,Application Software
Blackrock Inc,BLK,"New York Stock Exchange, Inc.",Financials,Financial Services,Capital Markets,Asset Management & Custody Banks
Bristol-Myers Squibb Co,BMY,"New York Stock Exchange, Inc.",Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals
Barnes & Noble Education Inc,BNED,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Other Specialty Retail
BP PLC,BP,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas
Anheuser-Bush InBev SA/NV,BUD,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage & Tobacco",Beverages,Brewers
Burlington Stores Inc,BURL,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Apparel Retail
BorgWarner Inc,BWA,"New York Stock Exchange, Inc.",Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment
Blackstone Inc,BX,"New York Stock Exchange, Inc.",Financials,Financial Services,Capital Markets,Asset Management & Custody Banks
Citigroup Inc,C,"New York Stock Exchange, Inc.",Financials,Banks,Banks,Diversified Banks
Caterpillar Inc,CAT,"New York Stock Exchange, Inc.",Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Transportation Equipment
Cameco Corp,CCJ,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels
Colgate-Palmolive Co,CL,"New York Stock Exchange, Inc.",Consumer Staples,Household & Personal Products,Household Products,Household Products
Clearwater Paper Corp,CLW,"New York Stock Exchange, Inc.",Materials,Materials,Paper & Forest Products,Paper Products
Chipotle Mexican Grill Inc,CMG,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants
Centene Corp,CNC,"New York Stock Exchange, Inc.",Health Care,Health Care Equipment & Services,Health Care Providers & Services,Managed Health Care
Canadian National Railway Co,CNI,"New York Stock Exchange, Inc.",Industrials,Transportation,Ground Transportation,Rail Transportation
Canadian Pacific Railway Ltd,CP,"New York Stock Exchange, Inc.",Industrials,Transportation,Ground Transportation,Rail Transportation
Campbell Soup Co,CPB,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
CRH PLC,CRH,"New York Stock Exchange, Inc.",Materials,Materials,Construction Materials,Construction Materials
Salesforce Inc,CRM,"New York Stock Exchange, Inc.",Information Technology,Software & Services,Software,Application Software
Corteva Inc,CTVA,"New York Stock Exchange, Inc.",Materials,Materials,Chemicals,Fertilizers & Agricultural Chemicals
CVS Health Corp,CVS,"New York Stock Exchange, Inc.",Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services
Chevron Corp,CVX,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas
China Yuchai International Ltd,CYD,"New York Stock Exchange, Inc.",Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Transportation Equipment
Dominion Energy Inc,D,"New York Stock Exchange, Inc.",Utilities,Utilities,Multi-Utilities,Multi-Utilities
Delta Air Lines Inc,DAL,"New York Stock Exchange, Inc.",Industrials,Transportation,Passenger Airlines,Passenger Airlines
Deutsche Bank AG,DB,"New York Stock Exchange, Inc.",Financials,Financial Services,Capital Markets,Diversified Capital Markets
Deere & Co,DE,"New York Stock Exchange, Inc.",Industrials,Capital Goods,Machinery,Agricultural & Farm Machinery
Diageo PLC,DEO,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage & Tobacco",Beverages,Distillers & Vintners
Discover Financial Services,DFS,"New York Stock Exchange, Inc.",Financials,Financial Services,Consumer Finance,Consumer Finance
Dollar General Corp,DG,"New York Stock Exchange, Inc.",Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Consumer Staples Merchandise Retail
The Walt Disney Co,DIS,"New York Stock Exchange, Inc.",Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
Digital Realty Trust Inc,DLR,"New York Stock Exchange, Inc.",Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs,Data Center REITs
Physicians Realty Trust,DOC,"New York Stock Exchange, Inc.",Real Estate,Equity Real Estate Investment Trusts (REITs),Health Care REITs,Health Care REITs
Dow Chemical Company,DOW,"New York Stock Exchange, Inc.",Materials,Materials,Chemicals,Commodity Chemicals
DXC Technology Co,DXC,"New York Stock Exchange, Inc.",Information Technology,Software & Services,IT Services,IT Consulting & Other Services
Endeavor Group Holdings,EDR,"New York Stock Exchange, Inc.",Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
New Oriental Education & Technology Group Inc,EDU,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services
The Estee Lauder Companies Inc,EL,"New York Stock Exchange, Inc.",Consumer Staples,Household & Personal Products,Personal Care Products,Personal Care Products
Eastman Chemical Co,EMN,"New York Stock Exchange, Inc.",Materials,Materials,Chemicals,Specialty Chemicals
Enbridge Inc,ENB,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation
Energy Transfer LP,ET,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation
Extra Space Storage Inc,EXR,"New York Stock Exchange, Inc.",Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs,Self-Storage REITs
Ford Motor Co,F,"New York Stock Exchange, Inc.",Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers
FTI Consulting Inc,FCN,"New York Stock Exchange, Inc.",Industrials,Commercial  & Professional Services,Professional Services,Research & Consulting Services
Freeport-McMoRan Inc,FCX,"New York Stock Exchange, Inc.",Materials,Materials,Metals & Mining,Copper
FirstEnergy Corp,FE,"New York Stock Exchange, Inc.",Utilities,Utilities,Electric Utilities,Electric Utilities
Fair Isaac Corp,FICO,"New York Stock Exchange, Inc.",Information Technology,Software & Services,Software,Application Software
Foot Locker Inc,FL,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Apparel Retail
FMC Corp,FMC,"New York Stock Exchange, Inc.",Materials,Materials,Chemicals,Fertilizers & Agricultural Chemicals
Fortis Inc,FTS,"New York Stock Exchange, Inc.",Utilities,Utilities,Electric Utilities,Electric Utilities
General Dynamics Corp,GD,"New York Stock Exchange, Inc.",Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
General Electric Co,GE,"New York Stock Exchange, Inc.",Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
The GEO Group Inc,GEO,"New York Stock Exchange, Inc.",Industrials,Commercial  & Professional Services,Commercial Services & Supplies,Security & Alarm Services
General Mills Inc,GIS,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
General Motors Co,GM,"New York Stock Exchange, Inc.",Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers
Globus Medical Inc,GMED,"New York Stock Exchange, Inc.",Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
Garmin Ltd,GRMN,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Consumer Electronics
Goldman Sachs Group Inc,GS,"New York Stock Exchange, Inc.",Financials,Financial Services,Capital Markets,Investment Banking & Brokerage
GlaxoSmithKline PLC,GSK,"New York Stock Exchange, Inc.",Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals
Hyatt Hotels Corp,H,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
Home Depot Inc,HD,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Home Improvement Retail
Hess Corp,HES,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
Honda Motor Co Ltd,HMC,"New York Stock Exchange, Inc.",Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers
Harley-Davidson Inc,HOG,"New York Stock Exchange, Inc.",Consumer Discretionary,Automobiles & Components,Automobiles,Motorcycle Manufacturers
H&R Block Inc,HRB,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Services,Diversified Consumer Services,Specialized Consumer Services
The Hershey Co,HSY,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
Intercontinental Exchange Inc,ICE,"New York Stock Exchange, Inc.",Financials,Financial Services,Capital Markets,Financial Exchanges & Data
Imax Corp,IMAX,"New York Stock Exchange, Inc.",Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
IQVIA Holdings Inc,IQV,"New York Stock Exchange, Inc.",Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Life Sciences Tools & Services,Life Sciences Tools & Services
Iron Mountain Inc,IRM,"New York Stock Exchange, Inc.",Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs,Other Specialized REITs
Johnson & Johnson,JNJ,"New York Stock Exchange, Inc.",Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals
JPMorgan Chase & Co,JPM,"New York Stock Exchange, Inc.",Financials,Banks,Banks,Diversified Banks
Kellogg Co,K,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
KeyCorp,KEY,"New York Stock Exchange, Inc.",Financials,Banks,Banks,Diversified Banks
KKR & Co Inc,KKR,"New York Stock Exchange, Inc.",Financials,Financial Services,Capital Markets,Asset Management & Custody Banks
Kinder Morgan Inc,KMI,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation
CarMax Inc,KMX,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Automotive Retail
Coca-Cola Co,KO,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks & Non-alcoholic Beverages
Quaker Chemical Corp,KWR,"New York Stock Exchange, Inc.",Materials,Materials,Chemicals,Specialty Chemicals
Loews Corp,L,"New York Stock Exchange, Inc.",Financials,Insurance,Insurance,Property & Casualty Insurance
Lithium Americas,LAC,"New York Stock Exchange, Inc.",Materials,Materials,Metals & Mining,Diversified Metals & Mining
Lazard Ltd,LAZ,"New York Stock Exchange, Inc.",Financials,Financial Services,Capital Markets,Investment Banking & Brokerage
LCI Industries Inc,LCII,"New York Stock Exchange, Inc.",Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment
Lockheed Martin Corp,LMT,"New York Stock Exchange, Inc.",Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
Lowe's Companies Inc,LOW,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Home Improvement Retail
Southwest Airlines Co,LUV,"New York Stock Exchange, Inc.",Industrials,Transportation,Passenger Airlines,Passenger Airlines
Las Vegas Sands Corp,LVS,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming
Macy's Inc,M,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Discretionary Distribution & Retail,Distributors,Broadline Retail
Mastercard Inc,MA,"New York Stock Exchange, Inc.",Financials,Financial Services, Financial Services,Transaction & Payment Processing Services
McDonald's Corp,MCD,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants
McKesson Corp,MCK,"New York Stock Exchange, Inc.",Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Distributors
Moody's Corporation,MCO,"New York Stock Exchange, Inc.",Financials,Financial Services,Capital Markets,Financial Exchanges & Data
MetLife Inc,MET,"New York Stock Exchange, Inc.",Financials,Insurance,Insurance,Life & Health Insurance
McCormick & Co Inc,MKC,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
Movado Group Inc,MOV,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
Merck & Co Inc,MRK,"New York Stock Exchange, Inc.",Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals
Morgan Stanley,MS,"New York Stock Exchange, Inc.",Financials,Financial Services,Capital Markets,Investment Banking & Brokerage
M&T Bank Corp,MTB,"New York Stock Exchange, Inc.",Financials,Banks,Banks,Regional Banks
Norwegian Cruise Line Holdings Ltd,NCLH,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
National Fuel Gas Co,NFG,"New York Stock Exchange, Inc.",Utilities,Utilities,Gas Utilities,Gas Utilities
Natural Gas Services Group Inc,NGS,"New York Stock Exchange, Inc.",Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
Nike Inc,NKE,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",Footwear
Northrop Grumman Corp,NOC,"New York Stock Exchange, Inc.",Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
NOV Inc,NOV,"New York Stock Exchange, Inc.",Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
Nutrien Ltd,NTR,"New York Stock Exchange, Inc.",Materials,Materials,Chemicals,Fertilizers & Agricultural Chemicals
Novo Nordisk,NVO,"New York Stock Exchange, Inc.",Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals
Novartis AG,NVS,"New York Stock Exchange, Inc.",Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals
ONEOK Inc,OKE,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation
Oppenheimer Holdings Inc,OPY,"New York Stock Exchange, Inc.",Financials,Financial Services,Capital Markets,Investment Banking & Brokerage
Oracle Corp,ORCL,"New York Stock Exchange, Inc.",Information Technology,Software & Services,Software,Systems Software
Prestige Consumer Healthcare Inc,PBH,"New York Stock Exchange, Inc.",Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals
PG&E Corp,PCG,"New York Stock Exchange, Inc.",Utilities,Utilities,Electric Utilities,Electric Utilities
Pfizer Inc,PFE,"New York Stock Exchange, Inc.",Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals
Procter & Gamble Co,PG,"New York Stock Exchange, Inc.",Consumer Staples,Household & Personal Products,Household Products,Household Products
POSCO,PKX,"New York Stock Exchange, Inc.",Materials,Materials,Metals & Mining,Steel
Planet Fitness Inc,PLNT,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Leisure Facilities
Douglas Dynamics Inc,PLOW,"New York Stock Exchange, Inc.",Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Transportation Equipment
PNC Financial Services Group Inc,PNC,"New York Stock Exchange, Inc.",Financials,Banks,Banks,Diversified Banks
Prudential Financial Inc,PRU,"New York Stock Exchange, Inc.",Financials,Insurance,Insurance,Life & Health Insurance
Public Storage,PSA,"New York Stock Exchange, Inc.",Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs,Self-Storage REITs
Phillips 66,PSX,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing
Ritchie Bros Auctioneers Inc,RBA,"New York Stock Exchange, Inc.",Industrials,Commercial  & Professional Services,Commercial Services & Supplies,Diversified Support Services
Rogers Communications-CL B,RCI,"New York Stock Exchange, Inc.",Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services
Regions Financial Corp,RF,"New York Stock Exchange, Inc.",Financials,Banks,Banks,Regional Banks
Raytheon Technologies Corp,RTX,"New York Stock Exchange, Inc.",Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
SAP SE,SAP,"New York Stock Exchange, Inc.",Information Technology,Software & Services,Software,Application Software
Spirit Airlines Inc,SAVE,"New York Stock Exchange, Inc.",Industrials,Transportation,Passenger Airlines,Passenger Airlines
Charles Schwab,SCHW,"New York Stock Exchange, Inc.",Financials,Financial Services,Capital Markets,Investment Banking & Brokerage
SJW Group,SJW,"New York Stock Exchange, Inc.",Utilities,Utilities,Water Utilities,Water Utilities
Snap-on Inc,SNA,"New York Stock Exchange, Inc.",Industrials,Capital Goods,Machinery,Industrial Machinery & Supplies & Components
Snowflake Inc,SNOW,"New York Stock Exchange, Inc.",Information Technology,Software & Services,IT Services,Internet Services & Infrastructure
Southern Co,SO,"New York Stock Exchange, Inc.",Utilities,Utilities,Electric Utilities,Electric Utilities
SONY Group Corporation,SONY,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Consumer Electronics
Spotify Technology SA,SPOT,"New York Stock Exchange, Inc.",Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
Sempra Energy,SRE,"New York Stock Exchange, Inc.",Utilities,Utilities,Multi-Utilities,Multi-Utilities
Sunoco LP,SUN,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing
Sysco Corp,SYY,"New York Stock Exchange, Inc.",Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Food Distributors
AT&T Inc,T,"New York Stock Exchange, Inc.",Communication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services
TAL Education Group,TAL,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services
Molson Coors Beverage Co,TAP,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage & Tobacco",Beverages,Brewers
The Container Store Group Inc,TCS,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Other Specialty Retail
Teva Pharmaceutical Industries Ltd,TEVA,"New York Stock Exchange, Inc.",Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals
Target Corp,TGT,"New York Stock Exchange, Inc.",Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Consumer Staples Merchandise Retail
Treehouse Foods Inc,THS,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
TJX Companies Inc,TJX,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Apparel Retail
Toyota Motor Corp,TM,"New York Stock Exchange, Inc.",Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers
Tootsie Roll Industries Inc,TR,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
TREX Co Inc,TREX,"New York Stock Exchange, Inc.",Industrials,Capital Goods,Building Products,Building Products
TC Energy Corp,TRP,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation
Taiwan Semiconductor Manufacturing Co ,TSM,"New York Stock Exchange, Inc.",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
Tyson Foods Inc,TSN,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
TELUS Corp,TU,"New York Stock Exchange, Inc.",Communication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services
Titan International Inc,TWI,"New York Stock Exchange, Inc.",Industrials,Capital Goods,Machinery,Agricultural & Farm Machinery
Textron Systems,TXT,"New York Stock Exchange, Inc.",Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
Under Armour Inc,UA,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
Uber Technologies Inc,UBER,"New York Stock Exchange, Inc.",Industrials,Transportation,Ground Transportation,Passenger Ground Transportation
UBS Group AG,UBS,"New York Stock Exchange, Inc.",Financials,Financial Services,Capital Markets,Diversified Capital Markets
UGI Corp,UGI,"New York Stock Exchange, Inc.",Utilities,Utilities,Gas Utilities,Gas Utilities
Unilever PLC,UL,"New York Stock Exchange, Inc.",Consumer Staples,Household & Personal Products,Personal Care Products,Personal Care Products
United Natural Foods Inc,UNFI,"New York Stock Exchange, Inc.",Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Food Distributors
UnitedHealth Group Inc,UNH,"New York Stock Exchange, Inc.",Health Care,Health Care Equipment & Services,Health Care Providers & Services,Managed Health Care
United Parcel Service,UPS,"New York Stock Exchange, Inc.",Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics
Visa Inc,V,"New York Stock Exchange, Inc.",Financials,Financial Services, Financial Services,Transaction & Payment Processing Services
Veeva Systems Inc,VEEV,"New York Stock Exchange, Inc.",Health Care,Health Care Equipment & Services,Health Care Technology,Health Care Technology
