Company Name,Ticker,Exchange,GICS Sector,GICS Industry Group,GICS Industry,GICS Sub-Industry
Godrej Consumer Products Ltd,532424,BSE LTD,Consumer Staples,Household & Personal Products,Personal Care Products,Personal Care Products
Bharti Airtel Ltd,532454,BSE LTD,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services
Granules India Ltd,532482,BSE LTD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals
Astra Microwave Products Ltd,532493,BSE LTD,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment
Maruti Suzuki India Ltd,532500,BSE LTD,Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers
UltraTech Cement Ltd,532538,BSE LTD,Materials,Materials,Construction Materials,Construction Materials
Tata Consultancy Services Ltd,532540,BSE LTD,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
NTPC Ltd,532555,BSE LTD,Utilities,Utilities,Independent Power and Renewable Electricity Producers,Independent Power Producers & Energy Traders
Yes Bank Ltd,532648,BSE LTD,Financials,Banks,Banks,Diversified Banks
Tech Mahindra Ltd,532755,BSE LTD,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
Power Grid Corp Of India Ltd,532898,BSE LTD,Utilities,Utilities,Electric Utilities,Electric Utilities
eClerx Services Ltd,532927,BSE LTD,Industrials,Commercial  & Professional Services,Professional Services,Data Processing & Outsourced Services
REC Ltd,532955,BSE LTD,Financials,Financial Services, Financial Services,Specialized Finance
Bajaj Auto Ltd,532977,BSE LTD,Consumer Discretionary,Automobiles & Components,Automobiles,Motorcycle Manufacturers
Bajaj Finserv Ltd,532978,BSE LTD,Financials,Financial Services, Financial Services,Diversified Financial Services
Jubilant Foodworks Ltd,533155,BSE LTD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants
SJVN Ltd,533206,BSE LTD,Utilities,Utilities,Electric Utilities,Electric Utilities
Coal India Ltd,533278,BSE LTD,Energy,Energy,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels
Just Dial Ltd,535648,BSE LTD,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
LTIMindtree,540005,BSE LTD,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
Godrej Agrovet Ltd,540743,BSE LTD,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Agricultural Products & Services
ASML Holding NV,ASML,Euronext,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment
Danone,BN,Euronext,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
LVMH,MC,Euronext,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
L'Oreal,OR,Euronext,Consumer Staples,Household & Personal Products,Personal Care Products,Personal Care Products
UCB,UCB,Euronext,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals
Instone Real Estate Group O.N.,INS,Frankfurt Stock Exchange,Real Estate,Real Estate Management & Development,Real Estate Management & Development,Real Estate Development
Volkswagen,VOW,Frankfurt Stock Exchange,Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers
Vingroup JSC,VIC,Ho Chi Minh Stock Exchange,Real Estate,Real Estate Management & Development,Real Estate Management & Development,Diversified Real Estate Activities
CITIC Ltd,00267,Hong Kong Exchanges And Clearing Ltd,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
